model;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_svd_explicit;0.801451585;0.965195161;0.995828238;0.905688012;0.863220769;0.868503471;1.069105638;15.36563874;0.973029331
surprise_BaselineOnly_explicit;0.814362282;0.920667495;0.994545602;0.993398211;0.852401353;0.905243708;1.069607662;1.344737446;0.961185715
surprise_SVDpp_explicit;0.791359999;1;1;0.524833669;0.872103942;0.845779512;1.067472811;76.24705533;0.952483367
surprise_CoClustering_explicit;0.811028803;0.932164321;0.716724201;0.914971624;0.875295629;0.790426657;1.178346964;13.88160827;0.833496997
surprise_KNNBaseline_explicit;0.811667077;0.92996298;0.891344723;0.043688868;0.855964236;0.88206616;1.110000488;153.1603885;0.823957353
surprise_SlopeOne_explicit;0.826961727;0.877213308;0.706878991;0;0.865969429;0.814904044;1.182200379;160.1442663;0.712841535
surprise_KNNBasic_explicit;0.866588213;0.74054564;0.743627852;0.04740666;0.827940102;0.941012336;1.167816874;152.5660814;0.672618737
surprise_KNNWithMeans_explicit;0.840848753;0.829318386;0.644617605;0.041478518;0.851607106;0.850550914;1.206569487;153.5137237;0.667419048
surprise_KNNWithZScore_explicit;0.839102168;0.835342178;0.638589315;0.027282691;0.85055688;0.854330952;1.20892896;155.7829956;0.665997441
surprise_NMF_explicit;0.990149701;0.314394794;0.44741345;0.854435461;0.891249552;0.637905825;1.283755197;23.55860797;0.428257256
surprise_NormalPredictor_explicit;1.08130777;0;0;1;0.851815405;0.635540934;1.45887283;0.289409411;0.1
