model;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_svd;0.801451585;0.965195161;0.98739541;0.934198854;0.863220769;0.868503471;1.069105638;15.36563874;0.972085642
surprise_svd_surprise_BaselineOnly;0.806996943;0.946069791;0.992732806;0.928329663;0.858391992;0.888460469;1.06699874;16.71037619;0.965294135
surprise_SVDpp;0.791359999;1;0.991531845;0.668478101;0.872103942;0.845779512;1.067472811;76.24705533;0.96303714
surprise_svd_surprise_CoClustering;0.795877245;0.984420484;0.94954977;0.873611706;0.87459528;0.820012158;1.084044931;29.24724702;0.957647785
surprise_BaselineOnly;0.814362282;0.920667495;0.986123636;0.995393955;0.852401353;0.905243708;1.069607662;1.344737446;0.957595404
surprise_BaselineOnly_surprise_CoClustering;0.80254187;0.96143488;0.954023019;0.934806807;0.870344638;0.828395291;1.082279148;15.22634572;0.955436735
surprise_svd_surprise_SVDpp;0.794842705;0.987988507;1;0.601413809;0.868392049;0.860670415;1.064130068;91.61269407;0.954736209
surprise_BaselineOnly_surprise_SVDpp;0.80138855;0.965412561;0.999630337;0.66260891;0.86398977;0.874691488;1.06427599;77.59179277;0.950530195
surprise_SVDpp_surprise_CoClustering;0.791511155;0.99947868;0.939496856;0.607890953;0.878727866;0.81152128;1.088013246;90.1286636;0.933328087
surprise_svd_surprise_KNNBaseline;0.801036219;0.966627714;0.983627393;0.265720753;0.861789394;0.874735737;1.070593036;168.5260273;0.904186873
surprise_BaselineOnly_surprise_KNNBaseline;0.808474725;0.940973072;0.980312241;0.326915854;0.856002198;0.890745543;1.071901668;154.505126;0.897269976
surprise_SVDpp_surprise_KNNBaseline;0.795458751;0.985863826;0.986886153;0;0.867318078;0.861311824;1.069306664;229.4074438;0.88773749
surprise_CoClustering_surprise_KNNBaseline;0.799148439;0.973138474;0.910964919;0.272197897;0.871552449;0.819719343;1.099276022;167.0419968;0.875066317
surprise_KNNBaseline;0.811667077;0.92996298;0.883796678;0.332785045;0.855964236;0.88206616;1.110000488;153.1603885;0.849470351
surprise_CoClustering;0.811028803;0.932164321;0.71065487;0.940675997;0.875295629;0.790426657;1.178346964;13.88160827;0.833336235
surprise_SlopeOne;0.826961727;0.877213308;0.70089303;0.302303473;0.865969429;0.814904044;1.182200379;160.1442663;0.740378199
surprise_KNNBasic;0.866588213;0.74054564;0.737330696;0.335378935;0.827940102;0.941012336;1.167816874;152.5660814;0.698582244
surprise_KNNWithMeans;0.840848753;0.829318386;0.639158883;0.331242891;0.851607106;0.850550914;1.206569487;153.5137237;0.69393906
surprise_KNNWithZScore;0.839102168;0.835342178;0.633181641;0.321338512;0.85055688;0.854330952;1.20892896;155.7829956;0.69296957
surprise_NMF;0.990149701;0.314394794;0.443624683;0.898440127;0.891249552;0.637905825;1.283755197;23.55860797;0.430952778
surprise_NormalPredictor;1.08130777;0;0;1;0.851815405;0.635540934;1.45887283;0.289409411;0.1
