model;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_BaselineOnly;0.709721603;0.996723987;0.99705628;0.953245926;0.944645229;0.496132783;0.91614407;1.540284491;0.742213496
surprise_BaselineOnly_surprise_KNNBaseline;0.716241083;0.981784264;0.976161286;0.711356938;0.927220248;0.533688386;0.927030725;7.582686448;0.728444401
surprise_BaselineOnly_surprise_KNNWithMeans;0.719101896;0.975228564;0.974250774;0.762526855;0.932391253;0.513013199;0.928026135;6.304458737;0.722459594
surprise_KNNBaseline;0.775200306;0.846676178;0.806235503;0.773017493;0.894594569;0.569908036;1.015565015;6.042401958;0.684749969
surprise_svd;0.712868997;0.989511573;0.989321128;0.262668312;0.9303363;0.519589213;0.920174218;18.79095618;0.681789889
surprise_BaselineOnly_surprise_svd;0.708291998;1;1;0.201007757;0.939785081;0.506837209;0.91461034;20.33124067;0.67351938
surprise_KNNWithMeans;0.79153984;0.809233298;0.775481754;0.82418741;0.895516223;0.553053716;1.031588253;4.764174247;0.669138301
surprise_KNNWithZScore;0.791747006;0.808758565;0.771799066;0.801609957;0.893679515;0.555391652;1.033506998;5.328160417;0.666576448
surprise_svd_surprise_KNNBaseline;0.718569683;0.976448158;0.969680101;0.020779323;0.921498109;0.544357091;0.930407535;24.83335813;0.662128518
surprise_svd_surprise_KNNWithMeans;0.721743518;0.969175152;0.967290012;0.071949241;0.927394493;0.521550793;0.931652813;23.55513042;0.654886325
surprise_KNNBaseline_surprise_KNNWithMeans;0.779030852;0.837898286;0.803162393;0.582298421;0.901017689;0.547267801;1.017166158;10.8065762;0.6531287
surprise_CoClustering;0.811195291;0.764191821;0.745021757;0.443555492;0.912552805;0.548901403;1.047458442;14.27238319;0.616814953
surprise_KNNBasic;0.863979024;0.643235188;0.587837682;0.829543836;0.856612147;0.539051235;1.12935408;4.630370402;0.587615074
surprise_SlopeOne;0.885844275;0.593129843;0.546099391;0.795635729;0.85695505;0.577466857;1.151100456;5.477397013;0.586736758
surprise_NMF;0.831223486;0.718296184;0.703487333;0;0.931419565;0.484699741;1.0690986;25.35242692;0.523744803
surprise_NormalPredictor;1.144677595;0;0;1;0.769626512;0.544874642;1.435627742;0.372364831;0.372437321
