model;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_BaselineOnly;1.023591455;0.975433853;0.992621376;0.993053142;0.953783682;0.478394594;1.258031273;2.176788807;0.984930167
surprise_svd;1.020382072;0.984177534;0.991692535;0.91556569;0.942050507;0.511263382;1.258483648;21.70305514;0.9806981
surprise_SVDpp;1.01457441;1;1;0.682911532;0.935724978;0.534566566;1.254437645;80.33018637;0.968291153
surprise_KNNBaseline;1.048106731;0.908644137;0.91612014;0.057153033;0.943955896;0.489779553;1.295289845;238.0167116;0.826859228
surprise_CoClustering;1.077011752;0.829894948;0.670610728;0.907627872;0.914391312;0.551424011;1.414860855;23.70332675;0.765990342
surprise_KNNWithMeans;1.066792925;0.857735243;0.7727502;0.044364746;0.910165202;0.543491212;1.365115635;241.2392654;0.738154924
surprise_KNNWithZScore;1.06862119;0.852754298;0.767325676;0.03109088;0.909447253;0.54485322;1.367757553;244.5841818;0.732145076
surprise_KNNBasic;1.123692183;0.702718215;0.756176669;0.053442573;0.968550249;0.325810695;1.373187479;238.95172;0.661846955
surprise_NMF;1.178438164;0.5535676;0.55316756;0.848393666;0.957498773;0.417901779;1.472059469;38.62990947;0.582870189
surprise_SlopeOne;1.138443138;0.662530536;0.52601573;0;0.892680777;0.555602473;1.485283287;252.4188542;0.53484582
surprise_NormalPredictor;1.381626072;0;0;1;0.829413774;0.577797841;1.741469931;0.426231861;0.1
