model;mae;norm_mae;norm_rmse;norm_time;precision;recall;rmse;time;total
surprise_BaselineOnly;1.023591455;0.975433853;0.990463159;0.99449373;0.953783682;0.478394594;1.258031273;2.176788807;0.984103028
surprise_BaselineOnly_surprise_svd;1.020809429;0.983013239;0.993301054;0.926228098;0.94862785;0.494895323;1.256646115;23.87984395;0.981964241
surprise_svd;1.020382072;0.984177534;0.989536338;0.933075054;0.942050507;0.511263382;1.258483648;21.70305514;0.981478748
surprise_SVDpp;1.01457441;1;0.99782574;0.748667001;0.935724978;0.534566566;1.254437645;80.33018637;0.973888283
surprise_BaselineOnly_surprise_SVDpp;1.017172379;0.99292206;1;0.741820045;0.945367665;0.50735347;1.253376402;82.50697517;0.970996932
surprise_svd_surprise_SVDpp;1.015314478;0.997983748;0.999467837;0.680401369;0.940802683;0.520805479;1.253636148;102.0332415;0.96689335
surprise_BaselineOnly_surprise_KNNBaseline;1.028937805;0.960868191;0.976229284;0.245826729;0.948996535;0.485678959;1.264978735;240.1935004;0.896276537
surprise_svd_surprise_KNNBaseline;1.026206738;0.968308743;0.977917401;0.184408054;0.943983689;0.502100533;1.264154776;259.7197667;0.89424257
surprise_SVDpp_surprise_KNNBaseline;1.022697718;0.977868759;0.983608944;0;0.9407647;0.515442029;1.261376771;318.3468979;0.882664966
surprise_KNNBaseline;1.048106731;0.908644137;0.914128256;0.252673685;0.943955896;0.489779553;1.295289845;238.0167116;0.845514946
surprise_CoClustering;1.077011752;0.829894948;0.669152646;0.926783322;0.914391312;0.551424011;1.414860855;23.70332675;0.76724975
surprise_KNNWithMeans;1.066792925;0.857735243;0.77107004;0.242537339;0.910165202;0.543491212;1.365115635;241.2392654;0.757216111
surprise_KNNWithZScore;1.06862119;0.852754298;0.76565731;0.23201611;0.909447253;0.54485322;1.367757553;244.5841818;0.751486834
surprise_KNNBasic;1.123692183;0.702718215;0.754532544;0.249732674;0.968550249;0.325810695;1.373187479;238.95172;0.680736109
surprise_NMF;1.178438164;0.5535676;0.55196483;0.87983267;0.957498773;0.417901779;1.472059469;38.62990947;0.585472861
surprise_SlopeOne;1.138443138;0.662530536;0.524872035;0.207372627;0.892680777;0.555602473;1.485283287;252.4188542;0.55506842
surprise_NormalPredictor;1.381626072;0;0;1;0.829413774;0.577797841;1.741469931;0.426231861;0.1
